Location,Index Year,Breakdown,Characteristic,Rank,z_rate,z_oppshare,z_startup_den,norm_rate,norm_opp,norm_density,year_CPS,OppShare_New_Entrp,Rate_New_Entrp,startup_index,year_BDS,startup_density,Composition_of_New_Entrp,rank_last_y,rank_diff,index_last_y,index_diff,Location_name,Category,OppShare_New_Entrp_web,Rate_New_Entrp_web,location_category,index_diff_text,dataset
0,1996,Education,Less than High School,,,,,,,,1996,,0.00393,,,,0.1716,,,,,United States,National,,393.46829,the,.,national_demog
0,1998,Age,Ages 35-44,,,,,,,,1998,0.79575,0.00305,,,,0.2979,,,,,United States,National,7.9575,305.42319,the,.,national_demog
0,2011,Race,White,,,,,,,,2011,0.76008,0.00294,,,,0.6021,,,,,United States,National,7.6008,293.5824,the,.,national_demog
0,2011,Race,Other,,,,,,,,2011,,,,,,0.0248,,,,,United States,National,,,the,.,national_demog
0,2011,Race,Latino,,,,,,,,2011,0.67777,0.00515,,,,0.2291,,,,,United States,National,6.7777,515.2934,the,.,national_demog
0,2011,Race,Black,,,,,,,,2011,0.68518,0.00233,,,,0.0913,,,,,United States,National,6.8518,232.9175,the,.,national_demog
0,2002,Education,High School Graduate,,,,,,,,2002,0.82485,0.00286,,,,0.3064,,,,,United States,National,8.2485,285.5025,the,.,national_demog
0,2002,Education,Less than High School,,,,,,,,2002,0.79304,0.00346,,,,0.1462,,,,,United States,National,7.9304,345.6911,the,.,national_demog
0,1992,,,,,,0.96287,,,,,,,,1992,105.81,,,,,,United States,National,,,the,.,National_Profile
0,2011,Education,High School Graduate,,,,,,,,2011,0.71689,0.00334,,,,0.2896,,,,,United States,National,7.1689,333.76941,the,.,national_demog
0,2008,Education,High School Graduate,,,,,,,,2008,0.78831,0.00348,,,,0.3117,,,,,United States,National,7.8831,348.44681,the,.,national_demog
0,2008,Race,White,,,,,,,,2008,0.81188,0.00306,,,,0.643,,,,,United States,National,8.1188,305.9967,the,.,national_demog
0,2008,Age,Ages 55-64,,,,,,,,2008,0.86321,0.00358,,,,0.2116,,,,,United States,National,8.6321,357.66229,the,.,national_demog
0,2011,Gender,Male,,,,,,,,2011,0.67842,0.00416,,,,0.6228,,,,,United States,National,6.7842,416.1286,the,.,national_demog
0,2016,Gender,Male,,,,,,,,2016,0.80749,0.00389,,,,0.6051,,,,,United States,National,8.0749,389.13281,the,.,national_demog
0,2016,Race,Black,,,,,,,,2016,0.7631,0.0022,,,,0.0924,,,,,United States,National,7.631,219.5079,the,.,national_demog
0,2000,Veteran Status,Non-Veterans,,,,,,,,2000,0.83364,0.00265,,,,0.8869,,,,,United States,National,8.3364,264.8786,the,.,national_demog
0,1997,Race,White,,,,,,,,1997,,0.00291,,,,0.7561,,,,,United States,National,,291.18521,the,.,national_demog
0,2011,Age,Ages 20-34,,,,,,,,2011,0.70216,0.00273,,,,0.2944,,,,,United States,National,7.0216,273.4169,the,.,national_demog
0,1999,,,,-1.37615,1.13129,0.71589,0,80.06355,78.81541,1999,0.8392,0.0027,0.16,1999,102.95,,,,0.3,-0.14,United States,National,8.392,270,the,basically no changes ,National_Profile
0,1985,,,,,,2.88169,,,,,,,,1985,128.03,,,,,,United States,National,,,the,.,National_Profile
0,2013,Race,Other,,,,,,,,2013,,,,,,0.0349,,,,,United States,National,,,the,.,national_demog
0,2010,Race,Latino,,,,,,,,2010,0.7001,0.00561,,,,0.2339,,,,,United States,National,7.001,561.25891,the,.,national_demog
0,1996,Race,White,,,,,,,,1996,,0.00333,,,,0.7712,,,,,United States,National,,332.88019,the,.,national_demog
0,1996,Gender,Male,,,,,,,,1996,,0.00378,,,,0.5633,,,,,United States,National,,377.90619,the,.,national_demog
